OldImageName,NewImageName,Url
452.jpg,Amberjack,https://fmbl-images.s3.amazonaws.com/processed-images/Amberjack.jpg
453.jpg,Barracuda (Great),https://fmbl-images.s3.amazonaws.com/processed-images/Barracuda (Great).jpg
454.jpg,Bass (Largemouth),https://fmbl-images.s3.amazonaws.com/processed-images/Bass (Largemouth).jpg
455.jpg,Bluefish,https://fmbl-images.s3.amazonaws.com/processed-images/Bluefish.jpg
456.jpg,Bonito,https://fmbl-images.s3.amazonaws.com/processed-images/Bonito.jpg
457.jpg,Clown Knife Fish,Original File Not Found
458.jpg,Cobia,https://fmbl-images.s3.amazonaws.com/processed-images/Cobia.jpg
459.jpg,Crappie,https://fmbl-images.s3.amazonaws.com/processed-images/Crappie.jpg
460.jpg,Crappie Amberjack,Original File Not Found
461.jpg,Dolphin (Mahi Mahi),https://fmbl-images.s3.amazonaws.com/processed-images/Dolphin (Mahi Mahi).jpg
462.jpg,Grouper (Black),https://fmbl-images.s3.amazonaws.com/processed-images/Grouper (Black).jpg
463.jpg,Grouper (Broomtail),https://fmbl-images.s3.amazonaws.com/processed-images/Grouper (Broomtail).jpg
464.jpg,Grouper (Gag),https://fmbl-images.s3.amazonaws.com/processed-images/Grouper (Gag).jpg
465.jpg,Grouper (Goliath),https://fmbl-images.s3.amazonaws.com/processed-images/Grouper (Goliath).jpg
466.jpg,Grouper (Red),https://fmbl-images.s3.amazonaws.com/processed-images/Grouper (Red).jpg
467.jpg,Grouper (Snowy),https://fmbl-images.s3.amazonaws.com/processed-images/Grouper (Snowy).jpg
468.jpg,Jack Crevalle,https://fmbl-images.s3.amazonaws.com/processed-images/Jack Crevalle.jpg
469.jpg,King Mackerel (Kingfish),https://fmbl-images.s3.amazonaws.com/processed-images/King Mackerel (Kingfish).jpg
470.jpg,Little Tunny (False Albacore),https://fmbl-images.s3.amazonaws.com/processed-images/Little Tunny (False Albacore).jpg
471.jpg,Marlin (Blue),https://fmbl-images.s3.amazonaws.com/processed-images/Marlin (Blue).jpg
472.jpg,Marlin (White),https://fmbl-images.s3.amazonaws.com/processed-images/Marlin (White).jpg
